SMILES,sssr,clogp,mr,mw,tpsa,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,fracsp3,hall_kier_alpha,kappa1,kappa2,kappa3,labuteasa,number_aliphatic_rings,number_atom_stereocenters,number_bridgehead_atoms,number_HBA,number_HBD,number_hetero_atoms,number_hetero_cycles,number_rings,number_rotatable_bonds,number_saturated_rings,number_heavy_atoms,number_nh_oh,number_n_o,number_valence_electrons,max_partial_charge,min_partial_charge,fr_methoxy,fr_ether,fr_NH1,fr_NH0,fr_aniline,fr_unbrch_alkane,fr_bicyclic,fr_aryl_methyl,fr_Ndealkylation1,syba_score
CCCN1CCN(C)c2cc3nsnc3c(NCC)c21,3,2.7893,87.3527,291.1517667,44.29,12.30998685,7.250589678,5.190189318,3.783448739,2.853529455,13.12648343,7.980886422,5.718637006,4.326018589,3.387958776,0.571428571,-1.56,13.42431379,5.438441931,2.07690567,123.4581421,1,0,0,6,1,6,2,3,4,0,20,1,5,108,0.129670269,-0.381730185,0,0,1,4,3,0,2,0,1,21.010076377810687
CCNc1c2c(cc3nsnc13)N(CC)CCN2C,3,2.3992,82.7357,277.1361166,44.29,11.60288007,6.750589678,4.782810287,3.666579446,2.704836522,12.41937665,7.480886422,5.311257975,4.209149296,3.239265843,0.538461538,-1.56,12.47261698,4.845484639,1.903204471,117.0932,1,0,0,6,1,6,2,3,3,0,19,1,5,102,0.129670093,-0.381730325,0,0,1,4,3,0,2,0,2,13.534923966510432
CCCN1CCN(CC)c2c1cc1nsnc1c2C,3,3.05602,82.543,276.1408676,32.26,11.80998685,7.016050458,5.067973116,3.912367704,2.98491907,12.62648343,7.746347202,5.596420803,4.454937554,3.564991938,0.571428571,-1.36,12.66258162,4.962274586,1.961557681,117.90828,1,0,0,5,0,5,2,3,3,0,19,0,4,102,0.109420834,-0.368084248,0,0,0,4,2,0,2,1,1,15.16771265934998
CCCNc1c2c(cc3nsnc13)N(C)CCN2C,3,2.3992,82.7357,277.1361166,44.29,11.60288007,6.674468727,5.021143013,3.619133794,2.528815296,12.41937665,7.40476547,5.549590701,4.161703644,3.063244617,0.538461538,-1.56,12.47261698,4.845484639,1.996166239,117.0932,1,0,0,6,1,6,2,3,3,0,19,1,5,102,0.129670257,-0.381463264,0,0,1,4,3,0,2,0,2,21.451254074987567
CCNc1c2c(cc3nsnc13)N(C)CCN2CC,3,2.3992,82.7357,277.1361166,44.29,11.60288007,6.750589678,4.782810287,3.67164534,2.676233141,12.41937665,7.480886422,5.311257975,4.21421519,3.210662463,0.538461538,-1.56,12.47261698,4.845484639,1.903204471,117.0932,1,0,0,6,1,6,2,3,3,0,19,1,5,102,0.129670267,-0.381730186,0,0,1,4,3,0,2,0,2,17.881661621239562
CCN(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C,3,2.812,92.111,305.1674167,35.5,13.42033715,7.523649328,5.947736444,4.325441815,3.027113271,14.23683373,8.253946071,6.476184132,4.868011665,3.556723874,0.6,-1.56,14.38031939,5.329570198,2.214497439,130.0330557,1,0,0,6,0,6,2,3,3,0,21,0,5,114,0.129868701,-0.371287363,0,0,0,5,3,0,2,0,1,16.366749027824582
CCCCNc1c2c(cc3nsnc13)N(CC)CCN2C,3,3.1794,91.9697,305.1674167,44.29,13.01709363,7.750589678,5.532810287,4.145132836,2.918224869,13.83359021,8.480886422,6.061257975,4.687702686,3.45265419,0.6,-1.56,14.38031939,6.05291509,2.523576314,129.8230843,1,0,0,6,1,6,2,3,5,0,21,1,5,114,0.129670261,-0.381452909,0,0,1,4,3,1,2,0,2,25.945075062116807
CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,3,3.6985,91.779,304.1721678,32.26,13.38733712,8.004280313,5.738695706,4.698534564,3.310975203,14.2038337,8.734577057,6.267143393,5.241104414,3.8643107,0.625,-1.36,14.57198739,5.793888323,2.27409732,130.6381642,1,1,0,5,0,5,2,3,4,0,21,0,4,114,0.109693485,-0.368291001,0,0,0,4,2,0,2,1,1,14.677966233687762
CCc1c2c(cc3nsnc13)N(CC)CCN2CC,3,2.9199,82.567,276.1408676,32.26,11.80998685,7.07671063,4.867700865,4.015401476,3.011394342,12.62648343,7.807007373,5.396148553,4.557971327,3.564729839,0.571428571,-1.36,12.66258162,4.962274586,1.872690432,117.90828,1,0,0,5,0,5,2,3,3,0,19,0,4,102,0.109693318,-0.368291356,0,0,0,4,2,0,2,1,2,12.783692758839095
CCN1CCN(CC)c2c1cc1nsnc1c2C,3,2.66592,77.926,262.1252176,32.26,11.10288007,6.516050458,4.660594084,3.800564305,2.811204885,11.91937665,7.246347202,5.189041772,4.343134155,3.391277752,0.538461538,-1.36,11.71480337,4.387759597,1.570899407,111.5433378,1,0,0,5,0,5,2,3,2,0,18,0,4,96,0.109420834,-0.368291505,0,0,0,4,2,0,2,1,2,10.2171944763568
CCC(C)N1CCN(CC)c2cc3nsnc3c(NC)c21,3,3.1778,91.9477,305.1674167,44.29,13.18023034,7.693620142,5.531588924,4.496893994,3.120644491,13.99672692,8.423916885,6.060036612,5.039463844,3.655073812,0.6,-1.56,14.38031939,5.673993098,2.214497439,129.8230843,1,1,0,6,1,6,2,3,4,0,21,1,5,114,0.129660459,-0.384527232,0,0,1,4,3,0,2,0,1,16.73580712512096
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2NC,3,3.0353,91.8997,305.1674167,44.29,13.18023034,7.621892506,5.920787354,4.017575135,3.125178581,13.99672692,8.352189249,6.449235042,4.560144985,3.659607902,0.6,-1.56,14.38031939,5.673993098,2.413725606,129.8230843,1,0,0,6,1,6,2,3,4,0,21,1,5,114,0.129660289,-0.384527366,0,0,1,4,3,0,2,0,1,24.797167304502867
CCCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,3,3.1778,91.9477,305.1674167,44.29,13.18023034,7.63330518,5.958897338,3.857842156,2.959722363,13.99672692,8.363601923,6.487345026,4.400412006,3.494151684,0.6,-1.56,14.38031939,5.673993098,2.523576314,129.8230843,1,0,0,6,1,6,2,3,4,0,21,1,5,114,0.129678096,-0.379276743,0,0,1,4,3,0,2,0,1,28.408936570821485
CCN1CCN(C)c2cc3nsnc3c(C)c21,3,2.27582,73.309,248.1095675,32.26,10.39577329,5.939929507,4.502480201,3.554895348,2.561960355,11.21226987,6.67022625,5.030927889,4.097465199,3.142033222,0.5,-1.36,10.77262992,3.837968239,1.488565444,105.1783957,1,0,0,5,0,5,2,3,1,0,17,0,4,90,0.109420831,-0.371075942,0,0,0,4,2,0,2,1,2,11.469550835784371
CCCN1CCN(C)c2c1cc1nsnc1c2NC,3,2.3992,82.7357,277.1361166,44.29,11.60288007,6.689929507,4.909859233,3.674829454,2.771132121,12.41937665,7.42022625,5.43830692,4.217399304,3.305561442,0.538461538,-1.56,12.47261698,4.845484639,1.903204471,117.0932,1,0,0,6,1,6,2,3,3,0,19,1,5,102,0.129660109,-0.384527508,0,0,1,4,3,0,2,0,1,18.916164201252556
COCCNc1c2c(cc3nsnc13)N(C)CCN2C,3,1.6356,84.3207,293.1310312,53.52,12.01112836,6.664285371,5.013942293,3.675320011,2.556908405,12.82762494,7.394582114,5.542389981,4.217889862,3.091337726,0.538461538,-1.6,13.38615917,5.414299597,2.163483446,122.2067453,1,0,0,7,1,7,2,3,4,0,20,1,6,108,0.12967167,-0.382862557,1,1,1,4,3,1,2,0,2,27.12767211701616
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)C,3,2.9183,82.545,276.1408676,32.26,11.97312355,6.890154559,5.417060215,3.953330224,2.916968839,12.78962014,7.620451303,5.945507903,4.495900074,3.470304336,0.571428571,-1.36,12.66258162,4.63308663,1.872690432,117.90828,1,0,0,5,0,5,2,3,2,0,19,0,4,102,0.109693481,-0.37107544,0,0,0,4,2,0,2,1,1,16.87633799915504
CCCN1CCN(C(C)CC)c2c1cc1nsnc1c2C,3,3.83462,91.755,304.1721678,32.26,13.38733712,7.943620142,5.938967956,4.595500792,3.280250865,14.2038337,8.673916885,6.467415644,5.138070642,3.860323733,0.625,-1.36,14.57198739,5.793888323,2.37265978,130.6381642,1,1,0,5,0,5,2,3,4,0,21,0,4,114,0.109421001,-0.368024452,0,0,0,4,2,0,2,1,0,18.181864624285623
CCCCN1CCN(CC)c2c1cc1nsnc1c2CC,3,3.7001,91.801,304.1721678,32.26,13.22420041,8.07671063,5.628633287,4.415265351,3.264165468,14.04069699,8.807007373,6.157080975,4.957835201,3.817500965,0.625,-1.36,14.57198739,6.178250994,2.477771655,130.6381642,1,0,0,5,0,5,2,3,5,0,21,0,4,114,0.109693318,-0.368075749,0,0,0,4,2,0,2,1,1,23.779979699936437
CCCN1CCN(CC)c2c1cc1nsnc1c2CC,3,3.31,87.184,290.1565177,32.26,12.51709363,7.57671063,5.275079897,4.127204875,3.185108527,13.33359021,8.307007373,5.803527585,4.669774725,3.738444024,0.6,-1.36,13.61518929,5.55966759,2.042577048,124.2732221,1,0,0,5,0,5,2,3,4,0,20,0,4,108,0.109693318,-0.368075749,0,0,0,4,2,0,2,1,1,17.734210941832277
CNc1c2c(cc3nsnc13)N(C)CCN2C,3,1.619,73.5017,249.1048165,44.29,10.1886665,5.613808555,4.344366318,3.317357098,2.348173406,11.00516308,6.344105298,4.872814006,3.859926949,2.882602727,0.454545455,-1.56,10.58494782,3.731151032,1.436594308,104.3633158,1,0,0,6,1,6,2,3,1,0,17,1,5,90,0.129660106,-0.38452751,0,0,1,4,3,0,2,0,2,9.392099872063133
CCC(C)N1CCN(C)c2c1cc1nsnc1c2NC,3,2.7877,87.3307,291.1517667,44.29,12.47312355,7.11749919,5.373475041,4.243914868,2.912073757,13.28962014,7.847795933,5.901922729,4.786484718,3.446503078,0.571428571,-1.56,13.42431379,5.086989144,1.898102931,123.4581421,1,1,0,6,1,6,2,3,3,0,20,1,5,108,0.129660112,-0.384527507,0,0,1,4,3,0,2,0,1,16.63494518718906
CCCCN1CCN(C(C)C)c2c1cc1nsnc1c2C,3,3.83462,91.755,304.1721678,32.26,13.38733712,7.905615339,6.128999739,4.384025884,3.214545973,14.2038337,8.635912083,6.657447427,4.926595735,3.79461884,0.625,-1.36,14.57198739,5.793888323,2.477771655,130.6381642,1,0,0,5,0,5,2,3,4,0,21,0,4,114,0.109420999,-0.3680141,0,0,0,4,2,0,2,1,0,26.787148296802716
CCNc1c2c(cc3nsnc13)N(CC)CCN2CC,3,2.7893,87.3527,291.1517667,44.29,12.30998685,7.32671063,4.94092417,3.917314297,2.925477671,13.12648343,8.057007373,5.469371858,4.459884147,3.459906992,0.571428571,-1.56,13.42431379,5.438441931,1.984487212,123.4581421,1,0,0,6,1,6,2,3,4,0,20,1,5,108,0.12967027,-0.381730185,0,0,1,4,3,0,2,0,2,16.629305261811993
CNc1c2c(cc3nsnc13)N(C)CCN2CCOC,3,1.6356,84.3207,293.1310312,53.52,12.01112836,6.67974615,4.902658512,3.751699789,2.677673949,12.82762494,7.410042894,5.4311062,4.294269639,3.212103271,0.538461538,-1.6,13.38615917,5.414299597,2.064932362,122.2067453,1,0,0,7,1,7,2,3,4,0,20,1,6,108,0.129660297,-0.384527359,1,1,1,4,3,0,2,0,1,28.032065381281853
CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,3,3.9163,91.635,304.1721678,32.26,13.17179417,8.020970411,5.885126141,4.515490338,3.02149572,13.98829075,8.751267154,6.413573828,5.072182351,3.53071928,0.625,-1.36,14.57198739,6.178250994,2.710085971,130.6381642,1,1,0,5,0,5,2,3,5,0,21,0,4,114,0.106508938,-0.368022439,0,0,0,4,2,0,2,0,0,34.737855241873156
CCCN1CCN(CC)c2c1cc1nsnc1c2C(C)C,3,3.871,91.895,304.1721678,32.26,13.38733712,7.959426131,6.011348789,4.289548188,3.337417161,14.2038337,8.689722875,6.539796476,4.832118038,3.878907564,0.625,-1.36,14.57198739,5.793888323,2.37265978,130.6381642,1,0,0,5,0,5,2,3,4,0,21,0,4,114,0.109966891,-0.368067192,0,0,0,4,2,0,2,0,1,19.66499598520926
CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)C,3,3.6985,91.779,304.1721678,32.26,13.38733712,7.966275511,5.971620707,4.34544579,3.31812619,14.2038337,8.696572254,6.500068395,4.88801564,3.871461687,0.625,-1.36,14.57198739,5.793888323,2.37265978,130.6381642,1,0,0,5,0,5,2,3,4,0,21,0,4,114,0.109703837,-0.368291002,0,0,0,4,2,0,2,1,1,20.62442325406509
CCN1CCN(C)c2c1cc1nsnc1c2NC(C)C,3,2.7877,87.3307,291.1517667,44.29,12.47312355,7.13330518,5.551518307,3.746038757,2.786008178,13.28962014,7.863601923,6.079965994,4.288608607,3.320437499,0.571428571,-1.56,13.42431379,5.086989144,2.07690567,123.4581421,1,0,0,6,1,6,2,3,3,0,20,1,5,108,0.129678096,-0.379276743,0,0,1,4,3,0,2,0,2,21.23992472453966
CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,3,2.7893,87.3527,291.1517667,44.29,12.30998685,7.189929507,5.263412623,3.967955824,2.825167811,13.12648343,7.92022625,5.791860311,4.510525675,3.359597132,0.571428571,-1.56,13.42431379,5.438441931,2.07690567,123.4581421,1,0,0,6,1,6,2,3,4,0,20,1,5,108,0.129660285,-0.384527368,0,0,1,4,3,0,2,0,1,26.4918633788731
CCOCCN1CCN(C)c2cc3nsnc3c(C)c21,3,2.29242,84.128,292.1357823,41.49,12.21823514,7.017279776,5.106782658,3.882840755,2.788419945,13.03473172,7.747576519,5.635230346,4.425410605,3.368492813,0.571428571,-1.4,13.57700066,5.535354273,2.226066257,123.0218252,1,0,0,6,0,6,2,3,4,0,20,0,5,108,0.109420844,-0.379901795,0,1,0,4,2,1,2,1,1,23.306341815192656
CCN1CN(CCOC)c2c1cc1nsnc1c2C,3,2.24992,79.261,278.1201322,41.49,11.51112836,6.505867102,4.754980156,3.685758937,2.700138361,12.32762494,7.236163846,5.283427844,4.228328787,3.280211229,0.538461538,-1.4,12.62457309,4.938842975,1.949820362,116.6568831,1,0,0,6,0,6,2,3,4,0,19,0,5,102,0.109421762,-0.382851605,1,1,0,4,2,0,2,1,0,12.2843825922119
CCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,3,3.3084,87.162,290.1565177,32.26,12.68023034,7.428159362,5.580581823,4.452865607,3.061730673,13.49672692,8.158456105,6.10902951,4.995435458,3.61506617,0.6,-1.36,13.61518929,5.202687045,1.954049441,124.2732221,1,1,0,5,0,5,2,3,3,0,20,0,4,108,0.109693482,-0.371075438,0,0,0,4,2,0,2,1,1,15.009971707567797
